Refdatum,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
2021/03/05 00:00:00+00,9423,127,9293
2021/03/06 00:00:00+00,8552,113,8435
2021/03/07 00:00:00+00,6386,88,6296
2021/03/08 00:00:00+00,8944,162,8776
2021/03/09 00:00:00+00,11124,125,10993
2021/03/10 00:00:00+00,12535,155,12375
2021/03/11 00:00:00+00,12237,147,12083
2021/03/12 00:00:00+00,12552,141,12395
2021/03/13 00:00:00+00,11312,101,11199
2021/03/14 00:00:00+00,8695,89,8599
2021/03/15 00:00:00+00,11775,135,11624
2021/03/16 00:00:00+00,14925,156,14757
2021/03/17 00:00:00+00,16481,159,16307
2021/03/18 00:00:00+00,15151,156,14971
2021/03/19 00:00:00+00,15160,138,15005
2021/03/20 00:00:00+00,13884,102,9699
2021/03/21 00:00:00+00,10402,91,7720
2021/03/22 00:00:00+00,14231,147,10395
2021/03/23 00:00:00+00,18034,169,12426
2021/03/24 00:00:00+00,20107,152,13491
2021/03/25 00:00:00+00,19357,127,12534
2021/03/26 00:00:00+00,18311,138,12200
2021/03/27 00:00:00+00,15422,108,10263
2021/03/28 00:00:00+00,10664,71,7453
2021/03/29 00:00:00+00,14752,112,10068
2021/03/30 00:00:00+00,17890,123,11437
2021/03/31 00:00:00+00,19754,124,12368
2021/04/01 00:00:00+00,19279,98,11962
2021/04/02 00:00:00+00,15365,79,10035
2021/04/03 00:00:00+00,12404,65,49
2021/04/04 00:00:00+00,10434,40,52
2021/04/05 00:00:00+00,11050,52,37
2021/04/06 00:00:00+00,14457,60,43
2021/04/07 00:00:00+00,19923,38,38
2021/04/08 00:00:00+00,20819,48,22
2021/04/09 00:00:00+00,18750,25,9
2021/04/10 00:00:00+00,15517,21,0
2021/04/11 00:00:00+00,9466,11,0
2021/04/12 00:00:00+00,11554,21,-6
2021/04/13 00:00:00+00,17596,12,-2
2021/04/14 00:00:00+00,19183,4,-4
2021/04/15 00:00:00+00,13079,3,-1
